0001,26138,517558
0002,44064,486602
0003,38299,334117
0004,36677,368618
0005,29351,765269
0006,46739,427521
0007,27947,490417
0008,45129,511648
0009,38055,305098
0010,29446,697482
0011,29528,339592
0012,38448,649236
0013,26698,542690
0014,34276,791098
0015,28346,708091
0016,35376,415282
0017,27424,652376
0018,33376,431809
0019,25760,362005
0020,48567,395876
0021,28606,452104
0022,47785,783078
0023,46678,455697
0024,28685,450831
0025,47893,697983
0026,42569,424371
0027,40341,468342
0028,34594,453579
0029,46152,492817
0030,33779,559139
0031,37525,592206
0032,33681,617711
0033,38126,882963
0034,32590,410972
0035,33977,347479
0036,46907,572694
0037,43924,662507
0038,28126,727873
0039,30901,426380
0040,48266,471742
0041,48738,413947
0042,32869,352548
0043,38274,443763
0044,32670,437149
0045,45642,865319
0046,38028,319810
0047,33799,814192
0048,46267,430779
0049,48048,881107
0050,38578,415623
0051,31454,440161
0052,38005,516274
0053,25061,609341
0054,47120,823432
0055,26761,839405
0056,29678,558709
0057,47069,401106
0058,35391,841475
0059,26928,513230
0060,29226,580575
0061,41166,612266
0062,48667,579295
0063,25341,554001
0064,38911,480112
0065,27549,734697
0066,49547,736686
0067,42703,436351
0068,43547,577451
0069,36966,447091
0070,35574,403863
0071,49860,352927
0072,32514,343298
0073,46304,406437
0074,34522,886701
0075,45037,510640
0076,41026,374258
0077,30627,540846
0078,42300,639343
0079,39378,690016
0080,38961,496826
0081,36919,514440
0082,32290,664650
0083,48978,313109
0084,43114,573389
0085,31635,784107
0086,43319,654128
0087,26583,506424
0088,31784,595612
0089,46144,456637
0090,30057,400350
0091,32533,347576
0092,27151,645692
0093,45802,350634
0094,45241,742463
0095,34001,328890
0096,28349,791122
0097,37521,320212
0098,28131,690105
0099,33143,825974
0100,42128,813662
0101,41452,488455
0102,32872,310069
0103,38975,562323
0104,28835,857828
0105,40607,614418
0106,46869,425587
0107,35638,442533
0108,40864,473039
0109,35448,348032
0110,49288,413024
0111,33923,663115
0112,29468,840294
0113,35816,582803
0114,38816,454411
0115,42236,849034
0116,37979,391540
0117,30686,403495
0118,25001,854916
0119,30134,432031
0120,26664,858535
0121,38040,557768
0122,43850,532230
0123,29436,730715
0124,29785,570357
0125,33325,600810
0126,29171,589758
0127,30391,691162
0128,40033,677048
0129,28198,520725
0130,42484,768622
0131,49848,648151
0132,49322,688869
0133,31666,368948
0134,35206,359792
0135,36836,583054
0136,48823,582728
0137,26257,631904
0138,31602,542610
0139,33147,361711
0140,32267,485877
0141,45152,644299
0142,46449,867085
0143,36407,658316
0144,40177,648239
0145,36057,478543
0146,35001,401568
0147,42414,606113
0148,29132,717216
0149,32318,610606
0150,27117,317923
0151,45129,615171
0152,47810,635420
0153,25142,782907
0154,38159,839427
0155,29158,412250
0156,30905,326786
0157,28561,583180
0158,42469,708718
0159,35137,489673
0160,36428,526251
0161,43584,714556
0162,32569,736385
0163,49067,885838
0164,47709,650368
0165,33850,338457
0166,37101,892217
0167,30773,422280
0168,48181,864425
0169,43494,602628
0170,45561,373406
0171,45625,701825
0172,33887,892734
0173,38850,449080
0174,38344,514388
0175,27946,306304
0176,48927,801520
0177,36660,356550
0178,49384,708574
0179,43287,856618
0180,38671,618169
0181,44551,830106
0182,30299,701784
0183,38620,574123
0184,25205,370758
0185,42006,812987
0186,42514,429613
0187,40766,659738
0188,32506,600610
0189,47176,713524
0190,47689,627509
0191,29263,337895
0192,27959,363035
0193,25270,317644
0194,39928,342921
0195,49451,633103
0196,46961,554132
0197,27410,544825
0198,43624,300123
0199,39660,570087
0200,37960,668307
0201,26424,732274
0202,46764,471037
0203,30806,597035
0204,49243,855348
0205,30685,468510
0206,42489,846037
0207,48258,640511
0208,43979,552997
0209,44456,805558
0210,35413,827923
0211,32095,789206
0212,25236,416793
0213,34918,479951
0214,40942,654091
0215,43250,576285
0216,28924,353348
0217,45191,735820
0218,29356,743017
0219,28227,537150
0220,39629,735812
0221,25476,823818
0222,29495,385290
0223,27878,618219
0224,47541,538991
0225,48336,743188
0226,30855,741040
0227,38479,358552
0228,36065,419439
0229,32965,764129
0230,31725,778994
0231,30736,440957
0232,46203,707765
0233,41546,494625
0234,37152,613508
0235,43291,313094
0236,32074,742095
0237,41220,800921
0238,28433,420068
0239,36788,454925
0240,48626,664124
0241,48354,415903
0242,26144,851496
0243,45002,765569
0244,29055,433477
0245,27129,887535
0246,40665,623831
0247,45684,851254
0248,46034,546810
0249,33870,862124
0250,25817,335826
0251,33363,800261
0252,28614,600021
0253,49489,707863
0254,48584,771361
0255,40507,622130
0256,37197,778405
0257,45292,804459
0258,48551,821720
0259,46176,489159
0260,34415,487585
0261,26198,332107
0262,35092,366565
0263,33627,427058
